一个怪现象：父爱亏欠的女儿，长大后总在垃圾堆里找糖；父爱缺席的儿子，学不会责任和担当。爸爸的意义不只是赚钱养家，还是榜样和底气 ​​​
吕方 - 最后一次別离 真的很好听，推荐给你们！（来自 @酷狗音乐 海量曲库，极致音质）网页链接 ​​​
最近非常喜欢的一句话：“情绪，不过是智慧不够的产物”。 ​​​
人与人之间，是有一个情感账户的。倘若一方总占便宜，不停地消耗对方，那关系迟早会被透支干净。好的关系，一定是有来有往，让人身心舒适的。我们的无私、善良、体谅，一定要留给值得的人。而那些占便宜没够，处处计较算计的人，只适合做路人甲。把抠门的人请出你的生活，才是对自己最大的 ​​​ ...展开
夫妻幸福的10个黄金法则：一：钱一起存。二：不分房睡觉。三：尊重对方的父母。四：手机可以随便看。五：共同养育孩子。六：爱人朋友聚会大方出席。七：包容对方的缺点。八：不贬低对方的爱好。九：重大决定一起商量。十：生日纪念日会主动制造惊喜。 ​​​
婚姻不幸福的原因一、看不起伴侣，看不到他们的付出，不懂感恩，无视他们的辛苦和牺牲！二、缺乏沟通，有事情只会闷在心里，不再关心对方的喜怒哀乐，不会好好说话，长期的贬低，挖苦，讽刺对方。三、总有一个很强势，另一个忍气吞声，你认为你没有错，我觉得我有道理，你觉得你很委屈，他觉得他也 ​​​ ...展开
书卷多情似故人，晨昏忧乐每相亲。” ​​​
艺川 - 渡不了的劫 真的很好听，推荐给你们！（来自 @酷狗音乐 海量曲库，极致音质）网页链接 ​​​
有品位的男人，不会逢人就撩，只有那些没本事的男人，才会轻浮言语，胡乱勾搭。有教养、有格局，懂包容才是真男人。 ​​​
1.🌐太想要一个结果了，所以你不快乐。2.🌟相遇总有原因，不是恩赐就是教训。3.🦉别为难自己，孤独比将就有趣多了。4.♟️喜欢是棋逢对手，爱是甘拜下风。5.🌀允许自己脆弱，允许万物穿过。6.🐕不与混人辩理，莫与恶狗争道。7.⚠️对任何人过分期待，都是一件危险的事。8.🌊你涉水而过，不 ​​​ ...展开
稳定的情绪和良好的财务才是最重要的，而不是某个人爱不爱你。” ​ ​​​
整天工作的人，是发不了财的。财富是对认知的补偿，而不是对勤奋的奖赏。——洛克菲勒 ​​​
拔罐的人永远说你湿气重，美容的人永远说你皮肤缺水，就像不爱你的人总在你身上挑毛病。” ​ ​​​
突然被这段话点醒了:女性唯一的出路是工作， 而不是去当一个新娘。不要以为退到男性身后，退到家庭，婚姻里，你就安全了。受了委屈，你就想回娘家，过不下去了，你就想离婚，慢慢的你会发现，娘家好像已经回不去了，婚也不是那么好离的，孩子还小，你也扔不下孩子，后来你便明白了，心有千斤 ​​​ ...展开
一个女人美不美，要看她中年以后的模样，那是由岁月鉴定出来的。一颗阴暗的心托不起一张灿烂的脸。相由心生，心慈则貌美，人心善则面善。心若美好，自有光芒，心若善良，步步生香。不要笑话一个女人活了半生，依旧单纯的像个孩子。其实她并非不安世事，而是知世故而不世故。这种女人大多善良 ​​​ ...展开
你越轻松，越不在乎结果，结果反而越好。 ​​​
：活明白了，就不会惯着任何人。 ​​​
人最重要的事，就是要管好自己的嘴，你买了辆新车请闭嘴，换了新房子请闭嘴，你发了财赶紧闭嘴，无论和谁关系再好，你都要克制，因为你永远想象不到嫉妒可以让人变成什么模样。 ​​​
