感谢过去的创伤和遗憾，从心底里认可当年的自己，感谢TA在那些当下全力以赴做出最好的选择，钦佩TA从未放弃过自己。如此，生命中的那些裂痕便成了光照进来的地方。照进来的光是智慧之光，领悟之光。从此，生命变得既厚重又轻盈。厚重是因为生命有所积淀，轻盈是因为开启智慧。 ​​​
当恐惧、不安、焦虑来袭，带着这些情绪宝贝去健身/运动吧，反正也没心思干成长自己的事。把身体练得强壮起来，才能做一个更好的承载生命的容器。#健身运动##生命# ​​​
一天当中，有些时间注定要被浪费掉。因为人不可能全天候地精力充沛地去工作。用放空、做喜欢的事情来“浪费时间”，还是充满焦虑、恐惧、怀疑而“原地不动”地浪费时间，是可以选择的。#时间##生活手记# 闲来无事就画画吧 ​​​
外界的一点风吹草动，就会引起内在的不安全感。并非真的不安全，只是激起了早年在潜意识里埋藏的不安全感。告诉自己，如今我已经不是当年那个稚童，我已经具备了面对一切的能力。现在体会到的不安全，是幻象，是再一次把自己拉回最初体验到不安全的幻象。亦是破除幻象的机会。#自我觉察# 不安全感 ​​​
今早突然有一个觉察：但凡我晚起，精神状态都不太好。有时候甚至一天下来都浑浑噩噩，好像失去了意识，做不了什么事情。说是晚起，不过是九、十点钟，明明还有十几个小时可以干正事，可以保持清醒(因为睡眠足够多)，但竟然感觉浑身无力，也打不起精神。深入感受发现，只要晚起，就会出现一个严厉的声 ​​​ ...展开
哈哈哈哈哈哈哈，阳了，估计这回是真的阳了，很有回甘的莓茶完全尝不出味道。失去味觉的感受让我感悟出一点:沉浸式活在当下吧，有目标但别执着于目标赶紧实现，而是每天朝着目标去做，享受地去做，才是不浪费时间。每天有效工作就那些时间，不用压榨自己，跟流水学，不争先，争的是滔滔不绝。其他 ​​​ ...展开
看书是对我的疗愈，我很清楚。我也的确疗愈很多，因为能想起以前的事来，不再逃避过去。看自己越来越清晰，对人性的了解逐渐深刻，心态上真正的谦虚、敬畏，同时不卑不亢。对外在的人事物越来越包容，并且相信自己会越来越好，感受自己在活着。之前很多年，我是没有灵魂的人，行尸走肉般生活，我的灵 ​​​ ...展开
今天早上被一句话击中了，好像被什么打了头，一下子明白了些东西。生命已经有计划了，但不是你去计划。人生不是一个死的剧本，是一个宇宙不断和你相互回应的过程。人生是正在进行时，当下的起心动念是最重要的。去信任人生。让心从未来和过去中解放，回归当下。#生命##活在当下# ​​​
2024年开始把健身列入计划并实施，5.29.下午（健身的71天），不慎把右脚踝扭伤，只能暂停健身。休息了86天之后，8.25.恢复健身。2024年合计健身时长：122天。哈哈，为啥天数看起来并不多呀，因为体质太弱，只能隔天一练。遇见大姨妈到访，或者工作原因，加上其他杂七杂八的事，就剩这么多啦。就酱，20 ​​​ ...展开
2024.9.6.~12.21.用时106天，开始有意识的保护自己的能量，当无目的刷手机时，可以提醒自己了。嗯，我的目标就是活出那个本应绽放的自己，虽然CPTSD，但是依然可以，没问题哒#读书# 《不原谅也没关系》#好书推荐# ​​​
大神又开公益课了
今天去电影院看了《热辣滚烫》，当看到乐莹健身的各种场景切换的镜头时，忍不住哭了，每个独自走过人生的至暗阶段的人都明白:成长是自己跟自己的搏斗，成长注定是孤独的。自己的创伤要自己去疗愈，自己的缺陷要自己去填补，自己的生活要自己去创造。接纳不能改变的，改变可以改变的。人只能活一次 ​​​ ...展开
