下次我心情不好也百草枯杀人判15年 正好现在也是过这种监狱生活 ​​​
#卢昱晓工作室#在剧里就很美貌 线下活动工作室选的衣服都扬短避长 上次那个红亮片裙子也是质感差显胖 ​​​
饿 好饿啊  ​​​
#李明德锦月如歌 换脸#都刑拘了 换脸不正常 想啥呢都 ​​​
#周扬青和男嘉宾情人节约会vlog#真恶心 天天就谈恋爱炒作了  ​​​
#也没人告诉我网红时期白鹿长这样#她现在也长这样 ​​​
#李明德 马天宇#追过星的人都懂 如果一个人外表看着还行但是人气很低 那绝对是这个人有大雷 ​​​
饿啊 什么时候开饭啊 好想吃饭啊 ​​​
#赵露思长文谈抑郁症#真没必要 少想这些事 不要和别人解释 不要管别人怎么想 病才会好 什么时候能开始不在意别人说什么 这病才是真的治愈率 ​​​
在路上抑郁症犯了 真该死 没人能理解我 ​​​
我的新年愿望是活不过今年，初一上路 一年黄泉路 ​​​
#疑似SM新女团成员公开#好像柳智敏年少版 ​​​
回复@千人巴月:必然是带货  其实他不搞这个事 之后还可以继续拍戏 他这么一搞以后谁敢用他 自己没喝到汤就砸大家的锅 剧组不用他他就想让整个戏都拍不成 干嘛这么极端呢 这个不行换下一个多大的事//@千人巴月:“退圈”之后你们觉得他会带货还是送货
#泰国当地人称旅游很安全#安全个屁。。真是长见识了 泰国边境线形同虚设呗 大批人就坐船随意穿边境线? ​​​
#是谁在骗中国人去缅北# ​​​
#全国174位星星被困缅甸联合求救文档# #174名家属填写缅甸被困人员信息文档# 加点热度
#杨子崩溃大哭#看完能理解为什么派出所社区单位都不爱管夫妻吵架 谁管的了这几个活爹。。。。感觉结婚的人没有正常的呢 ​​​
能跑出去很难 
#刘晓庆前男友称工资一万否认包养#就你这难看的样子 庆奶可看不上你 ​​​
#粉丝认证号#我刚刚领取了#李永钦##粉丝认证号#No.4004512，马上领取粉丝认证号，官方盖章你值得拥有！ ​​​
#审判麦琳 对女性的围剿#婚姻到了最后 体面分开是最好的 没有原则性的过错 真的不好评价两个人谁错的多谁错的少 分开就是不合适而已 ​​​
#赵露思 没有办法总是这样#天然的好看啊 不过都整完了 也没什么可说了  ​​​
实在不能在喝酒了 端午节回来连续喝一周了 ​​​
#韩素希指责柳俊烈沉默#男的又美美隐身了 ​​​
真的好想知道为什么有人会那么开心啊 我真的很久没有开心过了 真的感受不到任何快乐 没有任何期待 感觉生死对我而言都没有意义 ​​​
#微信私密朋友圈被吐槽有bug#我私密发是为了顾忌对方的脸面 我完全可以指名道姓的骂他艾特他 ​​​
#日本地震已致至少73人死亡#真是妙啊 只要不统计就等于没有人员伤亡  ​​​
#肖程皓发不当言论暂停其主持人工作#我没感他觉说错啊 我没职务 我可以说 ​​​
