#压垮19岁男孩的只是910元的车费吗#是这个社会的冷漠 ​​​
#错付车费索要无果后轻生家属发声#人都找不到。实在是太可恶了。既然司机师傅这么明目张胆的不接电话，不上法庭，也不用退换钱。如果不给一个结果。那以后不是引导更多的人也这样，反正不应承担后果。我觉得司机不仅要返回原来的钱，更要加倍偿还家属。这样才能在社会上起到杀鸡儆猴的作用。要不然很多 ​​​ ...展开
相见时难别亦难 ​​​
#歌手谁来守榜限时征集#我正在参与【歌手谁来守榜限时征集】活动，推荐 @单依纯   成为袭榜歌手@charlieputh 的挑战对象！#歌手直播##歌手2025# 。  ​​​
板书设计
这一次一定要勇敢好嘛去做一个不一样的决定吧，去为自己活一会吧。不会比这些更难过了对不对。 ​​​
大不了一辈子不结婚了。一个人好好过。 ​​​
#小S许雅钧为大S包机#难道不应该小S和他丈夫包机？小S他们或多或少有责任，本来就应该是他们做的。 ​​​
分享图片 ​​​
长大，就是知道原来人生就是充满着各种各样的遗憾。你只能默默看着它发生，什么都做不了。 ​​​
我想，我应该更热爱我的生活。 ​​​
唉 ​​​
该怎么去描述眼泪呢大概就是湿了又干，又再次湿透的纸巾。 ​​​
#李行亮商演再次遭抵制#现在的网友就是太爱管闲事了。 ​​​
感觉自己身上真的缺少一份韧劲，遇事太佛系，很多事物都感觉可有可无。没有坚决做一件事情的坚定，也没有放弃一段不合适感情的决绝。面对很多事情，没有真正地去做就被吓到啦。真的很可惜。心态也不稳定，大事不够冷静。所以更是需要去锻炼和挑战自己。唉唉唉唉唉。最近真的蛮讨厌自己的。 ​​​
感觉今天心情很down的原因，也有因为放弃了比赛。唉，毕竟准备了蛮久的，也真的蛮可惜的。有舍有得吧，很多东西。。 ​​​
感觉做女人好难。不仅要长的好看，还要有能力。 ​​​
感觉现在的自己真的注意力特别分散，执行力也好差。被手机毒害了。 ​​​
大马路上随便一看的人都有流畅的脸型，不是大方脸。为什么我的脸就这么的大，最可气的是明明我就不胖。少吃了这么多顿晚饭，简直一点效果都没有。我真是哭哭哭哭哭哭。 ​​​
感觉自己浪费了好多时间 ​​​
好饿好饿咕噜咕噜咕噜咕噜 ​​​
不求尽如人意，只求无愧于心。 ​​​
酸李    骄傲多半不外乎我们对自己的估价，虚荣却牵涉到我们希望别人对我们的看法。——《傲慢与偏见》     盛夏，微风卷起，教室窗外的李子树随风摇曳，枝头青绿色、圆滚滚李子笑盈盈的摩挲着，有几颗李子落地，风里也透着绿色酸甜的味道。   “我们去摘李子吧！”蓝宇拍了拍我的肩，略带蜡黄的 ​​​ ...展开
#终于知道高铁盒饭受众是谁了#为什么高铁要整这么贵的盒饭。 ​​​
