#大河之水#唉～ 明达也是没办法 但违法就是违法，必须为自己的行为买单！能有锦秋和郑昊这样相扶相伴二十多年的好友想必此生也无憾了！至少救了女儿👧🏻 ​​​
#张晚意演技#“世间安得双全法，不负如来不负卿。”郁锦找到了两全之法！张晚意演技 确实不孬👍🏻看他演的角色总会给我一种“于无声处听惊雷”的惊艳感！ ​​​
#大河之水#昨晚32集石海峰因母亲尿毒症病情恶化返家照顾，检查一科二科小伙伴儿们都叮嘱他路上注意安全安心回家照顾家人，郑昊还转了他5000元，真的给我看感动了，果然年轻人的破防只需要一瞬间 ​​​
#大河之水#真的很想知道郑昊和锦秋最后在一起了么@大河之水官微 ​​​
如果315不爆出来，平时监管部门会查会公示提醒民众避雷麽 ​​​
#黄奕#黄奕老师演技太牛了！！！和驸马决裂毒酒戏简直太绝了👍🏻完全🐮🍺@黄奕 ​​​
#马苏似锦喊冤戏情绪爆发力#马苏老师演技太牛了！！！！！！完全🐮🍺@马苏 ​​​
#315晚会#🥶🙃 ​​​
果然🚾浪是懂我喜欢看啥的👀难以置信这是张晚意的声音过于震撼了我说Urnotforever的微博视频 ​​​
最喜欢的《滕王阁序》还记得是初三暑假🏖️背的到现在还能背的下来王勃真的可惜了天妒英才啊 ​​​
👂🏻这个可以🈶随便追追的微博视频 ​​​
也是看过他好几部剧了，演技真的蛮好的👍🏻多拍几部古装剧吧我家人也喜欢看👀下午上海台预告说晚上播这部剧，我妈说这张晚意好厉害呢这都好几部了演技好台词也好长得挺帅
🇨🇳文化常识🧪 ​​​
水浒传 ​​​
八段锦 ​​​
史记 ​​​
倒反天罡全挂了
哈哈哈哈哈哈哈真没想到如此搞笑 ​​​我就是李清华的微博视频 ​​​
“你们叁儿”哈哈哈哈哈哈哈这男主真真是笑skr人儿 ​​​热剧班主任的微博视频 ​​​
哈哈哈哈哈哈哈笑疯在这个视频里
世事洞明皆学问，人情练达即文章 ​​​
大接特接🔜 ​​​
凑是明天 ​​​
玩手机正确姿势 ​​​
#聂远杨蓉搭戏搭到画质变清晰#所以郑昊锦秋最后到底有木有在一起啊 ​​​
 ​​​
容俺看看🧐 ​​​ ​​​
俺喜欢吃长生果 ​​​
睡觉很重要🥱 ​​​
喜欢独处～ ​​​
三十六计 走为上策 ​​​
#哪吒票房#继续涨涨涨 ​​​
这段俺看了👀确实很帅所以俺捣回去又看了一遍真·意气风发少年郎不过好可惜开了弹幕俺也麽看到那个紫色大弹幕
#哪吒2再次刷新纪录#太棒了🐮🍺不愧是俺二刷过的电影🎦 ​​​
#电影哪吒之魔童闹海#太棒了🐮🍺不愧是俺二刷过的电影🎦 ​​​
🐮
#大河之水#剧情节奏很快，杨蓉聂远妥妥滴回忆啊少年罗成＆小风筝🪁 ​​​
#济南因暴雪停课#爆🌨️绝对的爆🌨️积🌨️🉑太厚了～ ​​​
#济南真的下雪啦#爆雨🌧️急转爆雪🌨️真是绝了大春天的🥶 ​​​
#山东天气也太抽象了#暴雪🌨️没来改爆🌧️了！！！大半夜下到现在明明昨天还20℃的啊 ​​​
大清早的真是服了，果然林子大了，什么鸟都有啊头一次见识到人怎么可以胡搅蛮缠睁眼说瞎话到这种地步 ​​​
高手在民间🐮
山东卫视在播《父辈的荣耀》奶奶看的很入迷，我说这剧咋越瞅越熟悉呢，总觉得像看过似的，看了一会儿，男主出来了，我说呢，这不陈兴杰嘛 ​​​
实属令人咋舌果然恶魔在人间👿
太🐮了
6️⃣
🐮
这真的太🐮了，不愧我二刷
厉害了🐮
恭喜哪吒110亿🎉@电影哪吒之魔童闹海 
这张贺图最喜欢恭喜🎉@电影哪吒之魔童闹海 
恭喜🎉期待哪吒3@电影哪吒之魔童闹海 
简直畜生🐷🐶不如严惩不贷！！！
#荣耀300#🎉
太棒了🎉长风破浪会有时，直挂云帆济沧海。史冠我们@电影哪吒之魔童闹海  来了
莫名感动//@电影哪吒之魔童闹海:谢谢“球球哥”的托举，一起向前
接🙌🏻
值得🎉
试1️⃣试
好运来袭！我抽中了！我抽中了@姜妍二胖 发出的红包，你也快来试试手气吧，一起聊#春晚#迎蛇年！ ​​​
果然人至贱则无敌LOW爆了仅代表个人抵制爱奇艺反正视频平台多的是又不是非得看爱奇艺 ​​​
#定日县地震全力搜救#愿平安🙏 ​​​
