我在小红书发布了一篇笔记，快点开来看看看～ 戳我&gt;&gt; {网页链接}（分享自小红书）#小红书精选# ​​​
红霞的笔记 高翔，1972年生。 先后就读于中央美术学院、中国艺术研究院、中国美术学院。得周韶华、郭... （分享自小红书）#小红书精选#网页链接 ​​​
草莓🍓做的玫瑰花🌹真漂亮
我发布了：高翔，1972年生。先后就读于中央美术学院、中国艺术研究院、中国美术学院。得周韶华、郭怡孮、张立辰、姜宝林、王镛、邱振中、赵宁安、马其宽等先生亲授。现为中关村学院特聘教授，中关村画院艺术委员会副主任，... ##快手# @快手 夏荷的快手视频 ​​​
我发布了：高翔，1972年生。先后就读于中央美术学院、中国艺术研究院、中国美术学院。得周韶华、郭怡孮、张立辰、姜宝林、王镛、邱振中、赵宁安、马其宽等先生亲授。现为中关村学院特聘教授，中关村画院艺术委员会副主任，... ##快手# @快手 夏荷的快手视频 ​​​
红霞的笔记 高翔，1972年生。 先后就读于中央美术学院、中国艺术研究院、中国美术学院。得周韶华、郭... （分享自小红书）#小红书精选#网页链接 ​​​
红霞的笔记 高翔，1972年生。 先后就读于中央美术学院、中国艺术研究院、中国美术学院。得周韶华、郭... （分享自小红书）#小红书精选#网页链接 ​​​
我发布了：高翔，1972年生。先后就读于中央美术学院、中国艺术研究院、中国美术学院。得周韶华、郭怡孮、张立辰、姜宝林、王镛、邱振中、赵宁安、马其宽等先生亲授。现为中关村学院特聘教授，中关村画院艺术委员会副主任，... ##快手# @快手 夏荷的快手视频 ​​​
我发布了：高翔，1972年生。先后就读于中央美术学院、中国艺术研究院、中国美术学院。得周韶华、郭怡孮、张立辰、姜宝林、王镛、邱振中、赵宁安、马其宽等先生亲授。现为中关村学院特聘教授，中关村画院艺术委员会副主任，... ##快手# @快手 夏荷的快手视频 ​​​
我发布了：高翔，1972年生。先后就读于中央美术学院、中国艺术研究院、中国美术学院。得周韶华、郭怡孮、张立辰、姜宝林、王镛、邱振中、赵宁安、马其宽等先生亲授。现为中关村学院特聘教授，中关村画院艺术委员会副主任，... ##快手# @快手 夏荷的快手视频 ​​​
我在小红书发布了一篇笔记，快点开来看看看～ 戳我&gt;&gt; {网页链接}（分享自小红书）#小红书精选# ​​​
我在小红书发布了一篇笔记，快点开来看看看～ 戳我&gt;&gt; {网页链接}（分享自小红书）#小红书精选# ​​​
真不是人！
