我们爱好和平但不害怕战争！
@人民日报 @紫光阁 @侠客岛 @白衣山猫 //@作家圆圆:这特么网络黑涩会啊？危害堪比女权与LGBT了。有组织有目的。
//@周末老师的日常:你要不再看看自己说的什么//@可爱的铁牛哥哥:老师不就是管孩子的？别什么都推给家长
这老小子疯了！！！
//@多少是多少的多少:其实应该建议学生别回来，一直住学校更好！这样父母多清净呀
//@还有比讲老实话更逗的吗:具体不知道真假，但“女quan”和“动bao”是搞破坏的抓手，还是特别趁手好用的那种，似是而非的程度特别高，欺骗性特别强，能骗过很多体质内的人。
回复@兴业路76号隔壁:国家法定的双休日啊。你的意思是学校是法外之地？学生不受法律保护？学校不受法律约束？？？//@兴业路76号隔壁:回复@布衣天涯客:从法律上讲，国家是规定了职工有双休，没涉及学生。法无禁止即可为。
乒乓球场地，排球规则，足球玩法
//@彭峥Jona:说泰山那两个极端球迷没话说，但是说泰山队的坑过分了。
哪吒是在反抗命运，申公豹又何尝不是？ ​​​
山东潍坊的小学初中题目已经难到变态的地步了，而且越来越难
我也接，哈哈//@小龙虾杀手_:我接🤲//@江南大野花:我接//@小狗斯特:这次我真的买//@吾六一061:🤲🏻//@心动收藏站:接//@梦嘚啵嘚佳:接接接//@循环热恋:接//@金瓜刘亮:接//@俗世共鸣:接//@月眠千葉山:接//@守法周市民:无痛接//@塑料河:狠狠接
人性本恶，正是教育存在的意义！如果人性本善，还要教育做什么？
原来：你看这个饼啊，又大又圆，又香又甜……之后：这是你的责任，这是你的义务，这是你的荣誉…… ​​​
这老小子不大正常，莫不是疯了？
答对9题，获得20积分，新春快乐，心想事成！#迎新春趣味知识答题##答题挑战赛#  ​​​
回复@自由淡定的石头:原文里有句话“但你心里清楚，大哥让你懂，你不懂也懂。大哥说你不懂，你懂也不懂。”//@自由淡定的石头:首先自己要有能力，然后要让有能力的人认可你的能力，最后要对认可你能力的有能力的人俯首。每一步都难，因为首先你的能力本身就不值一提。
答对8题，得70分，春节吉祥，福禄双全！#迎新春趣味知识答题##答题挑战赛#  ​​​
答对9题，获得20积分，恭贺新春，吉祥如意！#迎新春趣味知识答题##答题挑战赛#  ​​​
全部答对，获得20积分，岁岁平安，年年有余！#迎新春趣味知识答题##答题挑战赛#  ​​​
全部答对，获得30积分，岁岁平安，年年有余！#迎新春趣味知识答题##答题挑战赛#  ​​​
//@轻舟已过万重山-617:回首向来萧瑟处，归去，也无风雨也无晴。
#蛇年第一条微博#过年好！ ​​​
#金蛇添福迎新年# 添福卡惊喜开奖！巳巳如意，蛇年福星当属我~[锦鲤附体][锦鲤附体][锦鲤附体]成功开出@微博开新年 送出的1.58元福运红包，新年一定“蛇”么都好~！ ​​​
#金蛇添福迎新年# 福运至！我收到了@微博开新年 送我的#添财运#卡集齐6种添福卡，除夕夜20:25准点开红包，最高2025元！速戳&gt;&gt;金蛇添福迎新年 加入集卡，喜迎蛇年开门红！ ​​​
#金蛇添福迎新年# 福运至！我收到了@微博开新年 送我的#添福气#卡集齐6种添福卡，除夕夜20:25准点开红包，最高2025元！速戳&gt;&gt;金蛇添福迎新年 加入集卡，喜迎蛇年开门红！ ​​​
有点实力在身上！#金蛇添福迎新年# 边抽卡边解锁0.08元惊喜红包，继续做任务抽添福卡，新年红包滚滚来！话不多说，一起来~  ​​​
#金蛇添福迎新年# 福运至！我收到了@微博开新年 送我的#添财运#卡集齐6种添福卡，除夕夜20:25准点开红包，最高2025元！速戳&gt;&gt;金蛇添福迎新年 加入集卡，喜迎蛇年开门红！ ​​​
#金蛇添福迎新年# 福运至！我收到了@微博开新年 送我的#添喜事#卡集齐6种添福卡，除夕夜20:25准点开红包，最高2025元！速戳&gt;&gt;金蛇添福迎新年 加入集卡，喜迎蛇年开门红！ ​​​
#金蛇添福迎新年# 福运至！我收到了@微博开新年 送我的#添安康#卡集齐6种添福卡，除夕夜20:25准点开红包，最高2025元！速戳&gt;&gt;金蛇添福迎新年 加入集卡，喜迎蛇年开门红！ ​​​
全部答对，获得30积分，春节吉祥，福禄双全！#迎新春趣味知识答题##答题挑战赛#  ​​​
#金蛇添福迎新年# 福运至！我收到了@微博开新年 送我的#添安康#卡集齐6种添福卡，除夕夜20:25准点开红包，最高2025元！速戳&gt;&gt;金蛇添福迎新年 加入集卡，喜迎蛇年开门红！ ​​​
