比赛赢了世界都美好了快乐就这样简单 ​​​
DRG战队超话 赢了赢了 ​​​
DRG战队超话 那主宰凭什么让啊，5k的经济优势凭什么给啊 ​​​
梦岚超话 永远相信pjl的阿离 ​​​
今天本该是一个有比赛看的美好日子可恶的调休 ​​​
赢一把输一把赢一把输一把赢一把输一把，努力努力白努力，上了0颗星 ​​​
转转转转
梦岚超话#这个想让梦岚看看# 深夜产物，指为🐏 来夸这个pjl 汤圆要回家_的微博视频  ​​​
梦岚超话 点赞就当你答应了要打很久很久，还要天天开心 ​​​
梦岚超话 pjl五周年快乐想看你打很久很久要天天开心 ​​​
五周年快乐希望能陪你走很久很久
伸手✋🏻谢谢
DRG战队超话 佛是没有被邀请吗？怎么什么都没有@佛山DRG电子竞技俱乐部 ​​​
终于有时间看直播，想看pjl在峡谷里大显身手结果看了一把以后pjl通关了愤怒的小鸟是谁！是谁在害！ ​​​
梦岚超话 恭喜岚子137段哇顺便问下之前排进去也这么慢吗 ​​​
队友升段的时候选一些奇怪的阵容，这个剧情我好像之前见过除非你告诉我这个阵容是打算搬到年总用的 ​​​
梦岚超话 哇哦小麦 ​​​
梦岚超话 我就一句话，pjl对得起任何人哈 ​​​
梦岚超话 后悔了，当初不应该在佛超那么活跃的，怎么取关了还有，求主页不刷新垃圾教程 ​​​
梦岚超话 大超取关，来这里避避雨 ​​​
梦岚超话 希望你开心，希望你如愿 ​​​
DRG战队超话 我好难过，真的太难过，已经不想骂了，我春季赛的热血番夏季赛烂尾了 ​​​
DRG战队超话 语音语音语音！谁来懂我一下这个语音！这才是应该有的语音 ​​​
DRG战队超话 这场赢了输得局就是我打的，我一个人打五个手机 ​​​
DRG战队超话 ？你们？你们到底是谁啊我真不懂了 ​​​
DRG战队超话 ctz是张良梦男吗非要拿 ​​​
DRG战队超话 骂比赛的时候也不要放过这个ctz做的破烂bp人不人鬼不鬼的 ​​​
DRG战队超话 请神QRG请神 ​​​
DRG战队超话 打得菜该骂骂，不耽误我做梦 ​​​
DRG战队超话 ctz什么时候能放弃一选pjl自信英雄？你抢了又不给选手做环境？那个苍和小乔对面就让对面拿了？pjl到底哪里得罪你了？？？ ​​​
DRG战队超话 明天努力打比赛就好了，什么控分放水啥的，我不觉得这是你们能干出来的事（你们这状态碰谁都不是很好打，所以管他谁呢，打就得了，而且最终也不是只看你们的输赢），赢了六个人就是好宝，输了就是技不如人六只小🐷，最最最最重要的是你们的状态，季后赛不要一轮游能接上赛季 ​​​ ...展开
DRG战队超话 好吧，赢了那么夸一下中射辅最后那波团反应很快，鲁大没记错的话其实是拉了中射辅三个的但是没开到，后面曹操进场孙膑沉默，西施钓到。狄仁杰的黄牌也很准 ​​​
DRG战队超话 ctz这把赢了不代表你的bp做的有多好知道吗，选手还是太宠你了 ​​​
DRG战队超话 ctz好样的，喜欢祸害选手自信英雄是吗，祸害香香一个不够还要把阿离也祸害了 ​​​
DRG战队超话 哈哈哈哈哈哈哈哈哈哈哈 ​​​
DRG战队超话 好吧~_~和好2/4 ​​​
DRG战队超话 那…那个…上赛季第三轮让二追三以后…你懂的对吧 ​​​
DRG战队超话 求求了，某些帖子发出来比串子还像串子，除了招黑没有任何意义明明赢了，明明让二追三是个很值得开心的事情，到底要干嘛 ​​​
DRG战队超话 drg泥…蒜了，先和好1/4吧，让二追三太不容易了 ​​​
DRG战队超话 喜欢让射手一个人玩那么想必中野辅节奏一定很好吧，喜欢抢中线想必前期一定很会做事吧，喜欢肉镜想必我们家一定0前排吧，张飞舍不得开大想必大招上是镶金了吧，火舞这么喜欢找存在感想必画面一定很多吧。事已至此你们还是少打点比赛，不要追着佛丝鲨 ​​​
DRG战队超话 在让人失望这件事上，从不让人失望 ​​​
DRG战队超话 打野第二轮就这样了吧，没经济压制不敢出来打架，有经济压制了喜欢装一波给队友增加游戏难度然后呼吸权还挺高一有问题就推锅给中辅，问就是中辅的问题，整个一个不粘锅 ​​​
DRG战队超话 老佛请对我好一点 ​​​
吾有一计已知老野喜欢刷钱没啥节奏，让dyh去打射手已知花缘明白给射手拆伙保着射手打，让tjw去打辅助已知岚子发现队友没节奏喜欢急，想单点突破，让pjl去打打野已知四宝喜欢输出不喜欢跟射手，让lzh去打对抗正好，早点喜欢跟着老野或者花缘，这样前期不帮射手的局面也有改善 ​​​
梦岚超话 快进转会期，快跑快跑 ​​​
参与
DRG战队超话 ctz滚出来看bp，为什么人家知道ban对面英雄池，为什么人家知道针对对面核心，为什么人家知道对面擅长啥不擅长啥 ​​​
DRG战队超话 今天这大场，我只能说选手状态回暖，中间两局更是有种好久不见的感觉。至于ctz，求一键变人教程，求大脑褶皱教程，求一键进化教程 ​​​
DRG战队超话 ctz你能做个人吗？你能做个人吗？求变人教程 ​​​
DRG战队超话 别人都在进步，只有你在退步👊🏻👊🏻👊🏻 ​​​
DRG战队超话 上赛季吃蛋的时候我只觉得你们技不如人，这赛季吃蛋我觉得这队伍是不是没救了能不能改能不能改能不能改能不能改 ​​​
DRG战队超话 可以说毫无长进，我仿佛看见三个🥚在向我招手 ​​​
DRG战队超话我在DRG战队超话连续签到100天，获得了“签程似锦”头衔。心中有光，奔赴热爱 ​​​
DRG战队超话 看了半天发现怎么没有人说皖皖的问题，我们家打野呼吸权为什么这么高，局内隐身局外也要隐身吗？昨天五个人局内发挥都不好，但是和打ag那种还是有区别的吧，昨天头锅不是野辅吗，打野一把镜一把老虎，节奏在哪呢？对对面后排压力在哪呢，对面小雪的环境简直不要太好，到后面需要一个射 ​​​ ...展开
DRG战队超话 ctz你这bp是用脑子想的吗？ ​​​
DRG战队超话我的第一场线下，可以赢下来吗 ​​​
DRG战队超话 求求了 ​​​
DRG战队超话卡皮巴拉能再庇佑我们一次吗明天一定要赢啊 查看图片
DRG战队超话 七月的五小佛要闪闪发光 ​​​
DRG战队超话 重新倍速看了一遍，简单的说一下我看到的问题，没有第三局是因为看完前两局想🐭了不是第三局没有问题，欢迎李涛，带节奏的别来，我第一次二刷输掉的局，drg你最好是好好复盘好好改进 ​​​
DRG战队超话 啊啊啊啊你赔我美好周日，心心念念的比赛，打成这个鬼样子，我现在都抓心挠肝的难受，下一场打ttg，我再说一遍，做好野区布防，他们射手英雄池有问题，但上单英雄池很深，ctz你bp不要再自说自话的自作聪明了，你就稳扎稳打的bp。 ​​​
DRG战队超话 我睡不着，你们六个睡着了吗 ​​​
DRG战队超话你有这样的佛丝进入超话是你的福气@佛山DRG电子竞技俱乐部
DRG战队超话 说真的，如果不是因为春天给了太多期待，我们反应不会这么大，既然决定zzqq继续走，那么春天的五人组不可以只有一个春天该有的强度该有的压力都得有，你们已经不是被人诟病季后赛软脚的奶龙了，你们是有望进入决赛圈争夺冠军的队伍，打成这个样子你们睡得着觉吗 ​​​
DRG战队超话 哦对了，败方选蓝是和哪位学的，人家有那个脑子你有吗是赛前让四宝占一卦说红色克你们是吗，没问题真的被克得死死的 ​​​
DRG战队超话 bp也是够恶心的，第一把吗那个bp是哪个朝代的，ctz你是穿越过来的吗，为什么不在第一把给选手们拿手热的英雄，先把状态拉起来不好吗，bo5省个毛的英雄啊，第三把双大狂铁双大海月双大夏侯还搞个元射，对面要啥给啥你是慈善家吗 ​​​
DRG战队超话 @佛山DRG电子竞技俱乐部 你们老板有钱给其他分部四五百w的花着，没钱给我们分部补个赛训吗，赛训是什么很贵的奢侈品吗贪心，探草，掉点，兵线，明明就是补一个严厉的赛训就能规避的问题 （没有给他们局内打得菜洗得意思，就是突然想到了） ​​​
DRG战队超话 如果ctz不能严格要求你们，你们能不能严格要求自己，很多都是老毛病了，上个春季赛的缺点这个夏季赛还在 ​​​
DRG战队超话 第三把不说，第三把才是我心中你们应该打出的水平前两把打得是个什么鬼，几乎就是平推，毫无抵抗的老死了 ​​​
DRG战队超话 运营运营没有，打团打团不行，脑子脑子没有，手法手法没有。想干嘛，收拾收拾回家好嘛 ​​​
DRG战队超话 没一个诗人，打得是什么你告诉我，在自家红区能被冲烂也是醉了 ​​​
DRG战队超话你们要是按第一把这么打，打成啥样我都要疯掉，一点对抗没有
DRG战队超话 毕竟是ag的公式流 ​​​
DRG战队超话 加油加油加油 ​​​
DRG战队超话   被零封我将装死 拿一分我会平静看待 拿两分我将心怀期望 拿三分我将梦回春季赛 ​​​
DRG战队超话亲家打得这么好，我们明天能不能也做到！说话！ ​​​
DRG战队超话 可以等一个芈月练习生吗tjw ​​​
DRG战队超话 1️⃣ttg打野喜欢1级进对面野区，我们和他们打一定要做好野区布防2️⃣老盖说暴君刚刚刷新的几秒内暴君血条是假的，很容易被rua掉 ​​​
DRG战队超话 想问问上海周边去看线下的友友们，在上海住一晚酒店和赶火车回去哪个更好一点呀 ​​​
DRG战队超话 去线下了哈哈哈哈哈哈哈哈 ​​​
DRG战队超话 我的底线是s4不能再低了，佛 ​​​
DRG战队超话 赢了就是好可以开心的逛微博刷物料输了我可能会气死过去 ​​​
DRG战队超话 好好复盘赢了就蒜了，那些问题我不相信你们不知道我在屏幕外面仰卧起坐差点就起不来了 ​​​
DRG战队超话 我嘎巴一下死在超话里的进度达到99％ ​​​
DRG战队超话 回去好好复盘这一把为什么不打龙，为什么不打龙，和春决一样去打人不打龙很多次都是对面拿龙我们拿人头，拿龙不就赢了吗 还有四宝，你的太乙，今天怎么这么怪，复活呢复活呢 ​​​
DRG战队超话 赢了是乐子，不过这阵容能拿到s组吗 ​​​
