//@肖战:#祝新中国生日快乐# #祖国万岁# 祝福伟大祖国繁荣昌盛，国富民强
//@肖战:#向烈士致敬# 人民英雄，永垂不朽！#盛世中国如你所愿#
//@肖战工作室:#烈士纪念日# 缅怀先烈，致敬英雄！
#肖战代言美团团购# 代言合作上新啦！我已为@美团团购 @肖战 送心成功，快来#星品影响力#推荐你的心动星品，助TA获得新宣TOP荣耀吧！ ​​​
#肖战代言美团团购# 我刚刚在#星品影响力#上被@美团团购 @肖战 种草啦，速速接受这波安利，一起为它打call吧！ ​​​
#肖战代言美团团购# 我在#星品影响力#被@肖战 合作的@美团团购 成功圈粉，迫不及待要入手啦！赶快也来pick你的心动选择吧～ ​​​
//@肖战:山河已无恙，吾辈当自强！#今日中国再不是1931年的中国# ​​​
我正在#WMA微博音乐盛典#推荐年度人物「肖战」，快来一起参与吧！#WMA微博音乐盛典定档# 网页链接
我正在#WMA微博音乐盛典#推荐年度MV「我们」，快来一起参与吧！#WMA微博音乐盛典定档# 网页链接
我正在#WMA微博音乐盛典#推荐年度歌曲「我们」，快来一起参与吧！#WMA微博音乐盛典定档# 网页链接
#肖战代言美团团购# 我刚刚在#星品影响力#上被@美团团购 @肖战 种草啦，速速接受这波安利，一起为它打call吧！ ​​​
#肖战代言美团团购# 代言合作上新啦！我已为@美团团购 @肖战 送心成功，快来#星品影响力#推荐你的心动星品，助TA获得新宣TOP荣耀吧！ ​​​
我正在#WMA微博音乐盛典#推荐年度MV「我们」，快来一起参与吧！ 网页链接
我正在#WMA微博音乐盛典#推荐年度MV「我们」，快来一起参与吧！ 网页链接
我正在#WMA微博音乐盛典#推荐年度人物「肖战」，快来一起参与吧！ 网页链接
我正在#WMA微博音乐盛典#推荐年度MV「我们」，快来一起参与吧！ 网页链接
我正在#WMA微博音乐盛典#推荐年度歌曲「我们」，快来一起参与吧！ 网页链接
//@肖战:#谍报上不封顶滴血不漏初见版# #2026优酷年度片单# 任少白的人生法则第一条：谍报和美食都很重要。#谍报上不封顶#
//@肖战:共赴江南，来看#江南十二场欢聚#😉
//@肖战:致往昔、敬未来，愿万里山河永昌，祖国繁荣富强！#阅兵直播##九三盛大阅兵#
//@肖战:#日本投降80周年# 铭记历史、缅怀先烈、珍视和平！#8月15日中国人必须铭记#
//@肖战:#锦绣山河有你心安# 今天是八一建军节，致敬人民子弟兵！
//@肖战:支持大美娟儿闯世界！
//@X玖少年团肖战DAYTOY:和我一起见证梦想绽放，点亮技能之光！#青春助力世赛#
//@肖战工作室:珍惜先烈血染山河换来的和平，铭记历史，吾辈自强！#19370707永不能忘#
//@X玖少年团肖战DAYTOY:#七七事变88周年##1937年7月7日永不敢忘# 铭记历史！珍视和平！警示未来！
//@X玖少年团肖战DAYTOY:很开心和@央视新闻 一起走进@元气森林官方微博 生产基地，全新升级的气泡水是如何诞生的？快来和我一探究竟吧！
#藏海传# 我的评分：这是我今年唯一让我开会员，不开倍速的剧，人物性格很丰满，古风悬疑扑面而来，让人忘记时间 ​​​
//@X玖少年团肖战DAYTOY:#谍报上不封顶开机# 任少白，静候佳音。#谍报上不封顶#
#藏海传# 我的评分：首先，一部剧想要吸引观众，那么里面的演员都不能拉胯，藏海传就做到了。里面人物性格都很突出（藏海最棒），这个权谋剧很有新意。 ​​​
//@X玖少年团肖战DAYTOY:#藏海传开播# 袖藏万钧策，心蕴天地机。#藏海传#
//@X玖少年团肖战DAYTOY:#藏海传官宣定档0518# 韬略在心，只待开局。#藏海传# ​​​
//@X玖少年团肖战DAYTOY:#汶川大地震17周年# 缅怀同胞，致敬新生，祝福汶川！#5月12日14时28分#
//@X玖少年团肖战DAYTOY:今天是中国品牌日，和我一起相信中国品质。   #和蒙牛见证中国牛奶的要强#
//@X玖少年团肖战DAYTOY:#谍报上不封顶# 一二零七归位，以谍报，挽战局。#谍报上不封顶概念海报#
//@X玖少年团肖战DAYTOY:感谢@新华社 邀请，和我一起#共同守护地球家园#！ ​​​
//@X玖少年团肖战DAYTOY:#清明节#追思怀远，致敬先烈，#家国永念#！
//@X玖少年团肖战DAYTOY:#中国台湾省# 台湾是中国领土不可分割的一部分。
//@X玖少年团肖战DAYTOY:#中国台湾省# 台湾是中国领土不可分割的一部分。
//@肖战工作室:#日常见肖战# 收到@X玖少年团肖战DAYTOY 的分享
//@肖战工作室:至亲至情，至深至切。@X玖少年团肖战DAYTOY #射雕至亲情特辑# #射雕里割不断的情和义# #电影射雕英雄传侠之大者#
射雕英雄传侠之大者👍👍👍
//@肖战工作室:和@X玖少年团肖战DAYTOY 一起，心怀热爱，继续前行！#非遗春节大拜年#
//@肖战工作室:祝大家新年快乐，大年初一看射雕[射雕]，四海同春，一步江湖
//@肖战工作室:愿年年，春风有信！#人民网乙巳新春寄语# 跟讲述人@X玖少年团肖战DAYTOY 一起心怀梦想，眉眼清扬，向未来张望！
//@X玖少年团肖战DAYTOY:侠之大者，重情重义，心系家国！#电影射雕英雄传公布特辑镜头# #电影射雕英雄传侠之大者#
//@肖战工作室:大年初一，走进电影院，和@X玖少年团肖战DAYTOY 一起极尽潇洒，快意江湖。@新华社
//@肖战工作室:红火江湖，岁岁安康！大年初一，和@X玖少年团肖战DAYTOY 一起，四海同春，一步江湖#射雕群侠贺岁海报# #射雕已切换年味模式# #电影射雕英雄传侠之大者#
//@肖战工作室:无惧时光的经典风尚、历代传承的意式匠艺与对至臻材质的不断探索，共筑而成#TODS2025秋冬#男士系列。聚焦#TODSPASHMY# 匠艺呈现，于张弛有度的绅雅之间，领略@TODS 意式风格的品质魅力。
//@X玖少年团肖战DAYTOY:侠之大者，心系苍生。#射雕新预告郭靖大汗对峙# #郭靖台词道出金庸武侠中的家国天下# #电影射雕英雄传侠之大者#
