#广东超10城五停##桦加沙最新动态##桦加沙# ​
广东还我教辅 ​​​
红色预警了怎么还不停课 ​​​
一眼望过去全是雨 ​​​
#九一八事变94周年# 铭记历史
1300 ​​​
1300生活从来没有捷径，别人为了梦想默默耕耘，只是你没看到而已。停止为懒惰找借口，向着梦想勇敢前进，你未来的模样就藏在现在的努力里。 ​​​
//@央视新闻:9月3日，#九三盛大阅兵#将举行，点击预约直播→央视新闻的微博直播 @央视新闻 将进行现场直播，带你全方位看阅兵！共同见证庄严时刻！
1300善良犹如一杯清水，透明而纯净，宛如一朵荷花，淡雅而芬芳，恰似一篇乐章，美妙而动听善良是一种修养，善待他人就是善待自己，要想得到别人的爱，首先要学会爱别人，一个善良的人一定是温暖的人，懂得珍惜和感恩的人 ​​​
1300 ​​​
文轩超话🐺 #文轩世界第一初恋# 🐟#文轩 你是我的养成系# 我爱你，在回忆里移动手机女孩的微博视频 ​​​
2300 ​​​
2300留住生命的那些善良。一个人的生命可能不被时间留住的过长，但是有些东西，一定要珍藏。留住善良，让善良发自内心。因为善良不是张扬，是在寂寞之中。善良虽在一时一事，但却是内心长期的积淀。有善的支撑、爱的信念、生命才会灿烂。 ​​​
啊啊啊这个好好玩，我会一直视奸你直到永远 ​​​
真正决定一个人成就的也不是运气，而是严格的自律和高强度的付出成功的秘密，根本就不是秘密，那就是不停地做。简单的事情重复做，重复的事情用心做，如果你真的努力了，目标明确了，你会发现自己比想象的更加优秀 ​​​
1300信任，是冬日的一缕阳光，使饥寒交迫的人感到温暖和芳香；信任，使沙漠的一口清泉，使濒临绝境的人看到生命的希望；信任，是一首飘荡在夜空的歌谣，使孤苦无依的人看到黎明的曙光；信任，是干旱过后的一场甘霖，救活了一个个脆弱的生命，点燃了一个个明天的希望！ ​​​
kk
0000善良是一种修养，善待他人就是善待自己，要想得到别人的爱，首先要学会爱别人，一个善良的人一定是温暖的人，乐于助人的人，懂得珍惜和感恩的人。 ​​​
0000 ​​​
每日一善超话 #‎每日一善# #‎阳光‎信用# 善良犹如一杯清水，透明而纯净，宛如一朵荷花，淡雅而芬芳，恰似一篇乐章，美妙而动听善良是一种修养，善待他人就是善待自己，要想得到别人的爱，首先要学会爱别人，一个善良的人一定是温暖的人，懂得珍惜和感恩的人@时代少年团 @曹国伟 ​​​
1100懂得尊重别人，也尊重自己的心声，学会调整，遇见困难了，多想想，没什么大不了;遇见喜事了，也别太放在心上，因为那只是一瞬间。懂得，一生中，名利只是过眼云烟，拥有再多，不如有份好心情。 ​​​
//@耀去陶稚园晃晃亚:我站在长大后的世界里固执地守着我们年少的回忆，因为我好想你啊
"我在#数字王者#中智商测试100分,解锁了新成就！来PK一下吧！数字王者 ​​​"
#日本投降80周年# 铭记历史！吾辈自强！#8月15日中国人必须铭记#
#赵露思陷假助农风波#  ​​​
#19岁女大学生景区内遭捅多刀身亡#此案折射出精神病患监管、公共场所安防、性别暴力干预等系统性漏洞。19岁生命的消逝，不仅是家庭之痛，更是对社会治理的严峻拷问——安全不应是概率，而是底线。  ​  ​ ​​​
哇哦，大眼这个是想干嘛 ​​​
#张真源名创优品全球品牌代言人# 我在#星品影响力#被@时代少年团-张真源 合作的@名创优品 成功圈粉，迫不及待要入手啦！赶快也来pick你的心动选择吧～ ​​​
#刘耀文名创优品全球品牌代言人# 我刚刚在#星品影响力#上被@名创优品 @时代少年团-刘耀文 种草啦，速速接受这波安利，一起为它打call吧！ ​​​
#宋亚轩名创优品全球品牌代言人# 我在#星品影响力#被@时代少年团-宋亚轩 合作的@名创优品 成功圈粉，迫不及待要入手啦！赶快也来pick你的心动选择吧～ ​​​
#马嘉祺名创优品全球品牌代言人# 代言合作上新啦！我已为@名创优品 @时代少年团队长-马嘉祺 送心成功，快来#星品影响力#推荐你的心动星品，助TA获得新宣TOP荣耀吧！ ​​​
//@doododada:手是交叉在一起的，交杯游戏//@依偎臆想:刘耀文也要打，所以他俩是脚牵着脚
秋凛辞眠的微博投票
"嗯对每一次就是这样，ydl 够橙了没铁fo,铁fo 够橙了没ydl，🧣你把我当狗玩呢 ​​​"
#我的成长纪念# 我在微博达成了500天创作成就，获得了专属「追风莫停 尽是春山」勋章！ ​​​
回广州了 ​​​
我在哪里 ​​​
兴坪你好堵车  ​​​
广西IP第一条微博 ​​​
给肚子吹风肚子疼，给脑袋吹风头疼，给手吹风手腕疼，我请问呢。 ​​​
#时代少年团代言名创优品#峰峻妹爱逛名创优品的有福了 ​​​
//@七个奶团子呀_:接//@严冬猫芽芽:接//@温屿栀:接//@米爆都有票:接//@去冰岛时的约定_://@年糕脆可颂:接//@爱到1440时:接//@没有回音blue:接//@不靠谱小狗oi_:接//@7个小炸--1123:接//@中途逢椿:接🙏
#李明德被判有期徒刑六个月##李明德入狱#  ​​​
