狂。
//@草莓大棚徐律:转给各位//@草莓大棚徐律:补永久「劳动法实务操作手册（2024）.pdf」：网页链接
//@狸角兽:建议修复一下画质，春晚直接重播就行
//@王天定:长知识！//@o小怂包:码住//@旺柴QQ:这个好，码住了
//@庄时利和:神级现场。怀念红毛姿白毛伦刘海妹八神友时期，当年真是吃太好了。 查看图片
//@YourFrien-D:Couldn't agree more.
//@左刀刃:是的呀
//@来去之间://@刘春:我师弟好瘦好帅啊，@陈晓卿 你看看
//@美国创业者:堰的工作原理和作用，可不是把水挡住那么简单。 
//@樊百乐:案情有很多相似之处，比如某些最终有助于产生“没有证据证明构成性骚扰”结论的证据，来自于性骚扰指控方
//@滑雪的江鱼儿:刚才注意到点评的律师也是北大的，给这条微博点赞的居委会王大伯也是北大的，我恰好也从这所妖风大的小庙出来。这就是为什么我劝大家考北大，这所学校出来的，明显内卷程度低，游手好闲时间多。隔壁学校口号一听就吓人——健康打工五十年
//@美国创业者:本视频耗时6个月制作，共计203分钟，一口气看完量子力学的发展历程。感谢博主整理！
//@美国创业者:高中老师给“高一新生的4大忠告”，通俗易懂，参考一下！ 
//@卧猫岗的猫:九十万人的群
//@他回精神病院了:机智的小孩儿。
//@庄时利和:不坠青云之志
//@樊百乐:是的。我一个同学后来是做得非常成功的知识产权律师，他就说：“同事是你最大的客户。”
//@刘群MT-to-Death:把二维的地理空间表示为一维空间，整个历史发展在一个二维平米上沿着时间轴延伸，太漂亮了！
//@Miss汉谟拉比:如果依靠婚姻实现了某些利益，但回头看看，就会发现你付出的是“正品”的代价。 再说，配偶能靠得住吗？就算他靠得住，他能保住自己万世财富吗？你能靠的还是只有你自己。
//@美国创业者:鼻炎怎么治？一次性讲明白！鼻炎鼻窦炎都可 以用，参考一下！ 
//@吴德周:
//@美国创业者:一分钟认识·37种不同品种的辣椒，你都吃过几种？ 🌶️
在
//@樊百乐:#虐猫考生上岸失败系道德品行等问题#  发一篇旧文
//@草莓大棚徐律:补永久「常见民事案件举证指引.pdf」网页链接
//@马靖昊说会计:简而言之，毛利就是没有拔过毛的利润，净利就是拔完毛的利润。
//@Ds走近哈佛:清晰扎实
//@美国创业者:一个话家：北大校友徐钊堪称“陈行甲”式官员，这段演讲太帅了！ 
//@Happy张江:
//@荳言:人文的核心是人。
//@樊百乐:一个经典的娱乐法冷知识有趣案例。我晚上写一写
//@韩广斌123:一名企业经营失败的老板 查看图片
//@Ds走近哈佛:好听！
//@行政法思述:挺喜欢爱尔兰的。叶芝、乔伊斯、贝克特、科尔姆·托宾、布莱丹·格里森、迪兰·莫兰，太多文化名人了。音乐也是从大河之舞、enya.、mary black，还有读书时很喜欢的the corrs，这个翡翠绿岛真的不简单啊。
//@写书哥:回头试试
//@止庵:#王朔最新访谈# 这是《起初》责任编辑（即视频中的提问者）在朋友圈写的话，我觉得特别好。征得他的同意（不经人同意就转发朋友圈的事决不能干），转发在这里：  王朔老师访谈第一期。这是2015年以来他首次接受正式采访，也是2007年以来他首次视频露面。 这种事先没有通过气的突然袭击式提问其 ...展开
//@知竹zZ:来B站看好剧！老铁们的新片定档啦，我爱女师男徒~！！
//@母明奇律师:感谢徐老师推荐，已下单
//@美国创业者:莫砺锋讲《唐宋诗词与现代人生》通俗易懂
//@扬韬:东哥的这种格局，才能真正做大做强活得长。小米的家电利润不超过5%，还是有道理的。京东外卖不只是不能高于5%，还直接把食品安全放在第一位，把餐厅老板和外卖小哥的利益放在前面。这样的良心企业，应该一定能做大做强。
//@行政法思述:和大名鼎鼎的雅典人书店、天堂书店一样，利基书店也是改造自教堂的。
//@美国创业者://@泡泡Pisces:转//@o小怂包:讲解的不错，转需。
//@民法李建伟:老师对学生、家长对孩子，都应该心态如此。
//@章晓华微博:远离负能量，抱住金大腿
//@刘桂明总编辑:都有绝妙。
//@王潇_潇洒姐:了不起！//@小V:应该重奖！//@杨晓春:了不起的小哥，@饿了吗   请重奖//@麦卡PU10P:再转一个洗洗眼睛。饿了么骑手陈科达，徒手抢走罪犯的斧子//@麦卡PU10P:了不起。第一个上了才会有后面众人的跟进，@饿了么 请找到并重奖//@一只猫的背影://@pp倒:我靠 太勇了吧// ...展开
//@松谷之梦:狗的天使姐姐。
//@法律人戴鹏:三号是要发回重审的！@左宁刑诉
//@他回精神病院了:有钱人本就是靠抠门才发的财。中产预算有限，得计划着花，不敢超支。穷人大方是怕得罪了财神。
//@深圳臧律师:听一个被留置140多天的讲经历，快出来时后来听到汽车鸣笛，自述幸福的难以描述
//@章晓华微博:善良要带根刺。
//@协和眼科Dr刘w伟:这个讲的有点意思
//@美国创业者:强东宿迁中学演讲，诙谐幽默，讲述青年历程励志人生！ 
#送妈妈一朵花##闪闪发光的妈妈# 送妈妈一朵长寿花，祝她花期无限！ 花点心思爱妈妈 ​​​
//@诨名唤作巴布尔:推荐大家去看看B站今年五四的纪录片《消失的青年》。没有喧嚣的口号，也没有完美的答案，却有真实的挣扎、探索与回应。在未老先衰的时代做一个青年不容易，我们被推着前行，被焦虑定义，被效率衡量，但每一个时代的青年，终究都有他们要面对的问题。只求在时代的噪音和洪流中，保持 ...展开
//@美国创业者:李录手把手教你如何完整分析一家公司。果断收藏！ 
//@美国创业者:天主教、新教、东正教，六个主要区别解析。马住了解下！
//@Miss汉谟拉比:如果去给韩国做法律顾问，就要提醒他们需通过书面协议确认员工同意延长工时，并保留记录以备法律审查；定期体检、设立工时上限预警系统，避免员工连续超负荷工作。咱们这也是如此，写完就觉得一阵悲凉。普通人太惨了。
//@戴氏Anne:🐎
//@樊百乐:是的
//@Joken是个runner:Ronny：感谢你们盗用我这个视频。我：不用谢
//@行走中的伍玲玲:回复@大鱼海棠35:刑事拘留并不意味着就立案了。公安机关可以对有毁灭、伪造证据或者串供等行为的现行犯或者重大嫌疑分子先行拘留。你查一下《刑事诉讼法》第八十二条 。公安机关对于现行犯或者重大嫌疑分子，如果有下列情形之一的，可以先行拘留：  （一）正在预备犯罪、实行犯罪或 ...展开
//@庄时利和:本人80后，小学时用矿泉水瓶接凉白开/有些同学会带水壶/有点零花钱的会去小卖部买冰红茶等饮料。我的大多数同学从小就是喝凉水长大的。
//@张宏杰://@荐见 ://@牙医小小徐 :傅高义说中美关系
//@butterflyprosperous:都有。还年轻。哈哈😀
我的天呀老天开眼了！感谢金主@三联生活周刊，感谢@微博抽奖平台！一起分享我的喜悦吧&gt;&gt;&gt; 网页链接 ​​​
//@行政法思述:可是王尔德也说过，保持青春的秘诀，就是要把曾经做过的傻事，重复一遍！
//@耳帝:太美好了！二十年三十年后，会成为未来的孩子回顾中国民谣史的珍贵影像，就像如今的孩子在B站上看九十年代中国摇滚的那些可遇不可求的时刻一样，真正的快乐出现在不经意间，六分钟处拿出手机🎹app弹solo的那段，我惊了，从没见一个手机app竟这么有灵魂过！
//@王潇_潇洒姐:伍尔夫在1905年开始职业写作生涯。1915年出版长篇小说开始大畅销。1917年开办霍加斯出版社。继承了姑妈的遗产是1928年。有没有这财产，她都是伍尔夫。//@6lotus:好多人宣扬她是独立女性，真的想笑，原来被老公养是不独立，被亲戚养就独立了
//@戴氏Anne:🐎
//@CZY的围脖:美国移民新政策
//@sniper-china:我喜欢这种松弛感。
//@UNCLE疯叔:传送门：网页链接
//@月弓城:一直喜欢英语诗歌，这么多年还是觉得丁往道教授这部入门最好。前半部英诗基本知识和规律解说简洁明了，后半部有古今英美诗选带注释和浅析。图书馆和旧书网可以找到。希望有出版社看中重新出版一下@上海译文 @外研社 @商务印书馆
//@知中ZHICHINA:太毒舌了。。人类的脱口秀以后编剧要失业了。
//@王潇_潇洒姐:今日正式开工，祝各位工友，百业成就！
有点实力在身上！#金蛇添福迎新年# 边抽卡边解锁0.08元惊喜红包，继续做任务抽添福卡，新年红包滚滚来！话不多说，一起来~  ​​​
#金蛇添福迎新年# 福运至！我收到了@微博开新年 送我的#添喜事#卡集齐6种添福卡，除夕夜20:25准点开红包，最高2025元！速戳&gt;&gt;金蛇添福迎新年 加入集卡，喜迎蛇年开门红！ ​​​
#金蛇添福迎新年# 福运至！我收到了@微博开新年 送我的#添开心#卡集齐6种添福卡，除夕夜20:25准点开红包，最高2025元！速戳&gt;&gt;金蛇添福迎新年 加入集卡，喜迎蛇年开门红！ ​​​
#金蛇添福迎新年# 福运至！我收到了@微博开新年 送我的#添安康#卡集齐6种添福卡，除夕夜20:25准点开红包，最高2025元！速戳&gt;&gt;金蛇添福迎新年 加入集卡，喜迎蛇年开门红！ ​​​
#金蛇添福迎新年# 福运至！我收到了@微博开新年 送我的#添喜事#卡集齐6种添福卡，除夕夜20:25准点开红包，最高2025元！速戳&gt;&gt;金蛇添福迎新年 加入集卡，喜迎蛇年开门红！ ​​​
#金蛇添福迎新年# 福运至！我收到了@微博开新年 送我的#添开心#卡集齐6种添福卡，除夕夜20:25准点开红包，最高2025元！速戳&gt;&gt;金蛇添福迎新年 加入集卡，喜迎蛇年开门红！ ​​​
#金蛇添福迎新年# 福运至！我收到了@微博开新年 送我的#添安康#卡集齐6种添福卡，除夕夜20:25准点开红包，最高2025元！速戳&gt;&gt;金蛇添福迎新年 加入集卡，喜迎蛇年开门红！ ​​​
#金蛇添福迎新年# 福运至！我收到了@微博开新年 送我的#添财运#卡集齐6种添福卡，除夕夜20:25准点开红包，最高2025元！速戳&gt;&gt;金蛇添福迎新年 加入集卡，喜迎蛇年开门红！ ​​​
#金蛇添福迎新年# 福运至！我收到了@微博开新年 送我的#添喜事#卡集齐6种添福卡，除夕夜20:25准点开红包，最高2025元！速戳&gt;&gt;金蛇添福迎新年 加入集卡，喜迎蛇年开门红！ ​​​
#金蛇添福迎新年# 福运至！我收到了@微博开新年 送我的#添安康#卡集齐6种添福卡，除夕夜20:25准点开红包，最高2025元！速戳&gt;&gt;金蛇添福迎新年 加入集卡，喜迎蛇年开门红！ ​​​
#金蛇添福迎新年# 福运至！我收到了@微博开新年 送我的#添喜事#卡集齐6种添福卡，除夕夜20:25准点开红包，最高2025元！速戳&gt;&gt;金蛇添福迎新年 加入集卡，喜迎蛇年开门红！ ​​​
#金蛇添福迎新年# 福运至！我收到了@微博开新年 送我的#添财运#卡集齐6种添福卡，除夕夜20:25准点开红包，最高2025元！速戳&gt;&gt;金蛇添福迎新年 加入集卡，喜迎蛇年开门红！ ​​​
#金蛇添福迎新年# 福运至！我收到了@微博开新年 送我的#添好运#卡集齐6种添福卡，除夕夜20:25准点开红包，最高2025元！速戳&gt;&gt;金蛇添福迎新年 加入集卡，喜迎蛇年开门红！ ​​​
#金蛇添福迎新年# 福运至！我收到了@微博开新年 送我的#添开心#卡集齐6种添福卡，除夕夜20:25准点开红包，最高2025元！速戳&gt;&gt;金蛇添福迎新年 加入集卡，喜迎蛇年开门红！ ​​​
#金蛇添福迎新年# 福运至！我收到了@微博开新年 送我的#添开心#卡集齐6种添福卡，除夕夜20:25准点开红包，最高2025元！速戳&gt;&gt;金蛇添福迎新年 加入集卡，喜迎蛇年开门红！ ​​​
#金蛇添福迎新年# 福运至！我收到了@微博开新年 送我的#添喜事#卡集齐6种添福卡，除夕夜20:25准点开红包，最高2025元！速戳&gt;&gt;金蛇添福迎新年 加入集卡，喜迎蛇年开门红！ ​​​
#金蛇添福迎新年# 福运至！我收到了@微博开新年 送我的#添安康#卡集齐6种添福卡，除夕夜20:25准点开红包，最高2025元！速戳&gt;&gt;金蛇添福迎新年 加入集卡，喜迎蛇年开门红！ ​​​
#金蛇添福迎新年# 福运至！我收到了@微博开新年 送我的#添财运#卡集齐6种添福卡，除夕夜20:25准点开红包，最高2025元！速戳&gt;&gt;金蛇添福迎新年 加入集卡，喜迎蛇年开门红！ ​​​
#金蛇添福迎新年# 福运至！我收到了@微博开新年 送我的#添喜事#卡集齐6种添福卡，除夕夜20:25准点开红包，最高2025元！速戳&gt;&gt;金蛇添福迎新年 加入集卡，喜迎蛇年开门红！ ​​​
#金蛇添福迎新年# 福运至！我收到了@微博开新年 送我的#添开心#卡集齐6种添福卡，除夕夜20:25准点开红包，最高2025元！速戳&gt;&gt;金蛇添福迎新年 加入集卡，喜迎蛇年开门红！ ​​​
#金蛇添福迎新年# 福运至！我收到了@微博开新年 送我的#添安康#卡集齐6种添福卡，除夕夜20:25准点开红包，最高2025元！速戳&gt;&gt;金蛇添福迎新年 加入集卡，喜迎蛇年开门红！ ​​​
