这个视频攒劲的很
这个问题的关键在于，她们不是不想让爸爸带孩子，而是要让爸爸按照自己的想法带孩子，糙老爷们怎么可能做到呢，一来二去更麻烦更乱了
#吒儿你还有多少惊喜#哪吒和两位哥哥是“吒儿”，所以叫“吒儿”不行，得叫“哪儿” ​​​
等参与和激发之间，就是英雄惜英雄啊，强者对强者的欣赏，至于怀春，怀春本身就是对生命最本真的美的向往，很美好，很生动啊
除了这个医生要举报，这个患者的脑子也有大病
恰恰我觉得这个才动人啊 ，她说“再唱大声点儿”的时候，我对她的喜欢就变成喜欢喜欢太喜欢了，这是真正的具有蓬勃生命力的昂扬之姿，光明磊落。身体可以献祭于理想，家国，而春，春属于美，美，让这个身体和头脑，意志力都強到一流的女将军不再是一个战争工具，是一个多鲜活有力人物啊
#大S去世#人生如此匆匆，就到这里，不用老去。 ​​​
#金蛇添福迎新年# 福运至！我收到了@微博开新年 送我的#添喜事#卡集齐6种添福卡，除夕夜20:25准点开红包，最高2025元！速戳&gt;&gt;金蛇添福迎新年 加入集卡，喜迎蛇年开门红！ ​​​
#金蛇添福迎新年# 福运至！我收到了@微博开新年 送我的#添开心#卡集齐6种添福卡，除夕夜20:25准点开红包，最高2025元！速戳&gt;&gt;金蛇添福迎新年 加入集卡，喜迎蛇年开门红！ ​​​
我倒觉得，如果只是假一点，是真的走人会信会做梦，而且作品数量过多没亮点。这个反其道而行，一下就假的夸张到你都不好意思信，看完只能说，切～怎么可能
回复@木兰星312:我在娃身上找到了一种很稀有的感觉“丑但爱”//@木兰星312:我被我崽崽丑哭过，真哭的那种
文化人分个什么真的假的，谁她妈自命不凡还给文化下定义了？真的就啥文化都懂假的就不配谈文化？那你是文化博主么就放文化屁，真烦这种动不动划队伍贴标签的是非精。所谓的交流，不管交流成啥样，他就是文化的一部分体现仅此而已。
#SVIP体验卡免费领# 我已成功领取3天SVIP体验卡。快来点击卡片领取，主页访客、留言、去机型小尾巴、动态头像、评论气泡等超多尊贵权益等你来体验!   ​​​
我分享了 @屠龙的胭脂井 的头条文章  ​​​
我分享了 @屠龙的胭脂井 的头条文章  ​​​
今天米多跟我说一个东西要800块，我觉得太贵但又不想拒绝的太没情面，就说那我每天给你五块钱，你要攒够了就去买吧，她开心的说那好吧，过了一会儿又嘟囔道：算了不买了吧，还要攒钱给妈妈买化妆品呢。。。。。登时我就想这么深明大义的娃怎么能不给她买呢。。。。。呃欧，想到这我发现我居然输了 ​​​ ...展开
行到水穷处，坐看云起时。时常叹服中国的诗人，用语言，超越语言 ​​​
生活是一层糖一层糠的千层饼。人心是一重闪亮一重晦暗的套娃。前方是一片辽阔一片迷雾的处女地。活着，就是醒一会，睡一会儿 ​​​
勇敢本身，就是道路
每次无意中展开一个话题，然后发现对方是个傻逼的时候，就会无，比，后，悔！后来得知你跟这个傻逼不得不说话的时候。。。。。然后你还得听傻逼的。。。。。。。。。恭喜你，跟某一部分暴力狂杀人犯产生了一丢丢共鸣 ​​​
水泥鼻。。。。我的老天爷啊 ​​​
盲目自信可比盲目自卑优秀多了 ​​​
无所畏惧，也不一定就是宏大的命题，天地辽阔，阴沟逼仄，不都是世间路吗 ​​​
我不是要当话痨吗？ ​​​
哎呦，娃又放假了 ​​​
我觉得我最辛运的就是童年时期没有很好的物质条件，这让我的生活其实一直在一个上升的状态，抗压能力尚可，没有对贫穷的格外的恐惧。虽然现在也不富，但每天都挺感恩 ​​​
如果只想做个“好人”，那么大概率永远都做不了“自己” ​​​
