#生活手记#哈哈 ​​​
#兴趣创作计划时尚篇#111 ​​​
#生活手记#111 ​​​
#生活手记#111 ​​​
#生活手记#111 ​​​
#生活手记#444 ​​​
#生活手记#111 ​​​
#生活手记#111 ​​​
#生活手记#啊啊啊 ​​​
#生活手记#111 ​​​
#追剧打卡#11 ​​​
#兴趣创作计划时尚篇#111 ​​​
#生活手记#111 ​​​
#生活手记#111 ​​​
他出生于广州音乐世家，4岁学琴，6岁登台演出…… ​​​
别人的童年 ​​​
对女性而言，颜值和家境确实是天生的加持，但对人生的掌控却是后天的训练。 ​​​
米饭粒粒饱满  ​​​
好吃的美食 友善的服务员 感恩每一天  ​​​
好吃  ​​​
突破自我 ​​​
好好看 粉粉的  ​​​
打卡33小镇🌸🌟 #美好生活 #旅游 #静谧之地  ​​​
大街上开跑车导致扰民的人早日下地狱吧。 ​​​
所谓&quot;美食不可辜负&quot;，愿诸君都能在忙碌生活中找到片刻宁静，享受这份简单而美好的美味时光。🍴🥣#美食分享#味蕾旅行  ​​​
这碗汤，暖胃又暖心，每一口都是满满的幸福感🍲❤️  Jessiccae的微博视频 ​​​
一家东北人在东莞开了一间东莞烧鹅濑粉，用的是桂林米粉 ​​​
烟花绽放的瞬间，仿佛星辰落入人间，照亮了每一个梦想。✨  ​​​
姜薯薏米果蔬圆  ​​​
饮茶  ​​​
看电影  ​​​
东莞人打卡  ​​​
吃饭  ​​​
下班稳野食  ​​​
好赞  ​​​
研究生谢师宴结束意味着终于结束这段艰苦路程，终于可以离开那些人了，离开这是非之地，真的只有拿到录取通知书和毕业证是开心的，其他时间都是焦虑，郁闷。 ​​​
一堆学生回来咯 ​​​
三月三充电 ​​​
落日、垂钓与野餐。  ​​​
安静.阅读.精进.放松心情  ​​​
这么冷的天！！  ​​​
